genome,fitness,behavior_descriptor
"[-0.89947323  0.08453311  0.18327512  0.72086649  0.8708684   0.21894573
 -0.2883724 ]",0,[-0.899  0.085  0.183]
"[ 0.83275426 -0.43075996  0.92560554  0.74929419 -0.14656962  0.59037418
 -0.86916735]",0,[ 0.833 -0.431  0.926]
"[ 0.425321    0.79506293  0.37459549  1.00018502  0.50780322 -0.46639995
 -0.21363518]",0,[0.425 0.795 0.375]
"[ 1.02991203 -0.88612481  0.46450518  0.45887534 -0.46349336  0.13411614
  0.02621019]",0,[ 1.03  -0.886  0.465]
"[-0.00255862 -0.45330861  0.28483191  0.43871758 -0.52066296  0.48364333
 -0.99233653]",0,[-0.003 -0.453  0.285]
"[ 0.05785164  0.06380103 -0.54608823 -0.53160157  0.39486919  0.79746728
  0.15621765]",0,[ 0.058  0.064 -0.546]
"[ 0.14458476  0.5457525   0.36959339 -0.42406783 -0.40045845  0.67361032
 -0.1056113 ]",0,[0.145 0.546 0.37 ]
"[ 0.87972261 -0.75850914 -0.39660247 -0.36706424 -0.26474019  0.9543451
 -0.61338103]",0,[ 0.88  -0.759 -0.397]
"[ 0.81001245  0.60482003  0.54026898 -0.59369913  0.29337841  0.43319704
  0.95197959]",0,[0.81  0.605 0.54 ]
"[ 1.02246372  0.56834202 -0.91225806 -0.84013343 -0.96459611  0.58610522
 -0.04156716]",0,[ 1.022  0.568 -0.912]
"[ 0.32667468 -0.93603271 -0.87850346  0.78184397  0.12798512  0.96450372
 -0.3386302 ]",0,[ 0.327 -0.936 -0.879]
"[ 0.28982602 -1.08403391  0.91433555 -0.60758241  0.58852752 -0.21254211
  0.54872822]",0,[ 0.29  -1.084  0.914]
"[-0.78895896  0.8110704  -0.58468682  0.80890628 -0.88994102 -0.57214887
  0.33862667]",0,[-0.789  0.811 -0.585]
"[-0.10338922 -0.31438113  0.59947984  0.22723266  0.2680591   0.52871068
  0.93736853]",0,[-0.103 -0.314  0.599]
