genome,fitness,behavior_descriptor
"[-0.78195688  0.18226683 -0.23368639 -0.94098434 -0.67536755  0.25554542
 -0.02213344]",0,[-0.782  0.182 -0.234]
"[-0.07821347  0.34160374 -0.87542907  0.40318366  0.94932628  0.82128389
 -0.88871428]",0,[-0.078  0.342 -0.875]
"[ 0.24402295 -0.50948036  0.85042378  0.9824681  -0.44700481  0.33826898
  0.91907795]",0,[ 0.244 -0.509  0.85 ]
"[ 0.89012013  0.55841322  0.37504174 -0.63986653 -0.30144082 -0.75687625
 -0.47954535]",0,[0.89  0.558 0.375]
"[-0.5724812  -0.33960425  0.98209401  0.51835784  0.61395397 -0.39778943
 -0.58583804]",0,[-0.572 -0.34   0.982]
"[ 0.3466644   0.12837095 -0.15366241 -0.54313719  0.98302856  0.41267258
  0.91233887]",0,[ 0.347  0.128 -0.154]
"[-0.32315682 -0.7208027  -0.80470673  0.91850684  0.36367713 -0.31952137
 -0.21626931]",0,[-0.323 -0.721 -0.805]
"[ 0.80547231 -0.1843221  -0.12820718 -0.69717818  0.68869368  0.34849757
  0.61613962]",0,[ 0.805 -0.184 -0.128]
"[ 0.87884533 -0.45226786 -0.1335412  -0.13517016  0.04047489 -0.44720595
  0.03089395]",0,[ 0.879 -0.452 -0.134]
"[-0.12102131 -0.41489846 -0.24466519  0.63343561 -0.15325828  0.46887994
 -0.10840263]",0,[-0.121 -0.415 -0.245]
"[ 0.65328982 -0.89344082  0.66554022  0.7780106   0.59028955  0.95218725
  0.68744001]",0,[ 0.653 -0.893  0.666]
"[ 0.36950977  0.14861845  0.41375081  0.17456475  0.88776989 -0.27676282
 -0.61496424]",0,[0.37  0.149 0.414]
"[ 0.39908643  0.57191856  0.65051568 -0.29027404 -0.08065925  0.64986899
  0.12516172]",0,[0.399 0.572 0.651]
"[ 0.17027563 -0.52028439 -0.56699855 -0.19854737  0.90748676 -0.92688431
  0.07820298]",0,[ 0.17  -0.52  -0.567]
"[ 0.66200108  0.22140245 -0.04285752  0.27319493 -0.86863488 -0.49248241
  0.9625264 ]",0,[ 0.662  0.221 -0.043]
"[ 0.55939602  0.35468737  0.24978867  0.01183802  0.51098689 -0.20159749
  0.39226638]",0,[0.559 0.355 0.25 ]
"[ 0.12902548 -0.48629496 -0.34939174 -0.29051843 -0.08000778  0.74782422
  0.05287373]",0,[ 0.129 -0.486 -0.349]
"[-0.61867701  0.51413592 -0.16295161 -0.09225416 -0.79183957 -0.73497229
  0.06277163]",0,[-0.619  0.514 -0.163]
"[ 0.66177295 -0.80132316  0.85518952 -0.96074232 -0.8296082   0.04795774
  0.01449045]",0,[ 0.662 -0.801  0.855]
"[-0.37553103 -0.52513152  0.05846534  0.95988229 -0.29418128  0.51931419
  0.07973802]",0,[-0.376 -0.525  0.058]
"[ 0.12875301  0.98088687  0.76768508  0.69187703 -0.97734879  0.14178886
  0.83978674]",0,[0.129 0.981 0.768]
"[-0.2078938  -0.44667446  0.62144749 -0.88860848 -0.97039722 -0.72276968
  0.78241566]",0,[-0.208 -0.447  0.621]
"[-0.90633702  0.05709577  0.01379798  0.58321798  0.1568477   0.59692585
  0.20503595]",0,[-0.906  0.057  0.014]
